solv_i_id,molefrac_i,ln_gamma_i
solvent_339 / solvent_449,1 / 0,0 / 0.23
solvent_339 / solvent_54,1 / 0,0 / 0.04
solvent_339 / solvent_222,1 / 0,0 / 0.23
solvent_339 / solvent_595,1 / 0,0 / 0
solvent_339 / solvent_726,1 / 0,0 / 0.06
solvent_339 / ref_74,1 / 0,0 / 0.26
solvent_339 / solvent_627,1 / 0,0 / -0.92
solvent_339 / solvent_319,1 / 0,0 / -1.14
solvent_339 / solvent_306,1 / 0,0 / 0.1
solvent_339 / solvent_455,1 / 0,0 / -0.04
solvent_339 / solvent_466,1 / 0,0 / 0.12
solvent_339 / solvent_795,1 / 0,0 / 0.94
solvent_339 / solvent_304,1 / 0,0 / 0.62
ref_41 / solvent_705,1 / 0,0 / 0.9
ref_41 / solvent_558,1 / 0,0 / 0.82
ref_41 / solvent_535,1 / 0,0 / 0.95
ref_41 / solvent_337,1 / 0,0 / 0.73
ref_41 / solvent_262,1 / 0,0 / -0.03
ref_41 / solvent_161,1 / 0,0 / 0.58
ref_41 / solvent_560,1 / 0,0 / 0.28
solvent_340 / solvent_527,1 / 0,0 / 0.85
ref_27 / solvent_535,1 / 0,0 / 0.47
ref_27 / solvent_337,1 / 0,0 / 0.21
ref_27 / solvent_527,1 / 0,0 / 0.48
ref_27 / solvent_262,1 / 0,0 / -0.03
ref_27 / solvent_81,1 / 0,0 / 0.28
ref_27 / ref_104,1 / 0,0 / 0.04
ref_27 / ref_63,1 / 0,0 / -0.05
ref_27 / ref_30,1 / 0,0 / -0.15
ref_27 / solvent_80,1 / 0,0 / 0.3
ref_27 / ref_37,1 / 0,0 / 0.17
ref_27 / ref_122,1 / 0,0 / 0.17
ref_114 / solvent_527,1 / 0,0 / 0.26
ref_114 / solvent_343,1 / 0,0 / -0.01
ref_114 / solvent_337,1 / 0,0 / 0.05
ref_114 / ref_1,1 / 0,0 / 0.29
ref_114 / solvent_262,1 / 0,0 / 0.29
ref_114 / solvent_782,1 / 0,0 / 0.51
solvent_343 / solvent_527,1 / 0,0 / 0.09
solvent_343 / solvent_262,1 / 0,0 / 0.51
ref_57 / solvent_705,1 / 0,0 / 1.78
ref_57 / solvent_343,1 / 0,0 / 1.41
ref_57 / solvent_535,1 / 0,0 / 1.88
ref_57 / solvent_337,1 / 0,0 / 1.43
ref_57 / ref_38,1 / 0,0 / 1.49
ref_57 / solvent_262,1 / 0,0 / 1.1
solvent_344 / solvent_705,1 / 0,0 / 1.57
solvent_344 / solvent_337,1 / 0,0 / 1.36
solvent_344 / solvent_527,1 / 0,0 / 1.75
solvent_344 / solvent_262,1 / 0,0 / 0.05
solvent_344 / solvent_90,1 / 0,0 / 1.07
ref_153 / solvent_527,1 / 0,0 / 0.72
ref_93 / solvent_535,1 / 0,0 / 0.25
ref_93 / solvent_337,1 / 0,0 / 0.07
ref_93 / solvent_527,1 / 0,0 / 0.25
ref_93 / solvent_262,1 / 0,0 / 0.37
ref_93 / solvent_81,1 / 0,0 / 0.28
ref_93 / ref_104,1 / 0,0 / 0.07
ref_93 / ref_63,1 / 0,0 / 0.1
ref_93 / ref_30,1 / 0,0 / 0.05
ref_93 / solvent_80,1 / 0,0 / 0.24
ref_93 / ref_37,1 / 0,0 / 0.57
ref_93 / ref_122,1 / 0,0 / 0.55
ref_93 / solvent_705,1 / 0,0 / 0.29
ref_93 / solvent_343,1 / 0,0 / 0
ref_93 / solvent_161,1 / 0,0 / 0.19
ref_93 / solvent_560,1 / 0,0 / 0.31
ref_113 / solvent_535,1 / 0,0 / 1.48
ref_113 / solvent_262,1 / 0,0 / 0
ref_73 / solvent_705,1 / 0,0 / 0.35
ref_73 / solvent_535,1 / 0,0 / 0.45
ref_73 / solvent_337,1 / 0,0 / 0.1
ref_73 / solvent_527,1 / 0,0 / 0.54
ref_73 / solvent_840,1 / 0,0 / 0.19
ref_73 / solvent_677,1 / 0,0 / 0.63
ref_73 / ref_48,1 / 0,0 / 0.28
ref_73 / solvent_262,1 / 0,0 / -0.39
ref_73 / solvent_782,1 / 0,0 / -0.29
ref_73 / solvent_454,1 / 0,0 / -0.25
ref_73 / solvent_90,1 / 0,0 / 0.04
ref_73 / solvent_81,1 / 0,0 / 0.19
ref_73 / solvent_80,1 / 0,0 / 0.34
ref_73 / solvent_88,1 / 0,0 / 0.45
ref_59 / solvent_705,1 / 0,0 / 0.54
ref_59 / solvent_535,1 / 0,0 / 0.66
ref_59 / solvent_337,1 / 0,0 / 0.27
ref_59 / solvent_527,1 / 0,0 / 0.78
ref_59 / solvent_840,1 / 0,0 / 0.38
ref_59 / solvent_677,1 / 0,0 / 0.91
ref_59 / ref_48,1 / 0,0 / 0.5
ref_59 / solvent_262,1 / 0,0 / -0.54
ref_59 / solvent_782,1 / 0,0 / -0.36
ref_59 / solvent_454,1 / 0,0 / -0.19
ref_59 / solvent_90,1 / 0,0 / 0.15
ref_59 / solvent_81,1 / 0,0 / 0.27
ref_59 / solvent_80,1 / 0,0 / 0.4
ref_59 / solvent_88,1 / 0,0 / 0.52
ref_132 / solvent_527,1 / 0,0 / 0.19
ref_95 / solvent_535,1 / 0,0 / 2.67
ref_95 / solvent_337,1 / 0,0 / 2.18
ref_95 / solvent_262,1 / 0,0 / 0.87
ref_95 / solvent_161,1 / 0,0 / 1.73
ref_95 / solvent_560,1 / 0,0 / 1.33
solvent_627 / solvent_262,1 / 0,0 / -0.08
solvent_627 / solvent_782,1 / 0,0 / -0.09
solvent_627 / solvent_705,1 / 0,0 / 1.13
solvent_627 / solvent_535,1 / 0,0 / 1.42
solvent_627 / solvent_446,1 / 0,0 / 2.22
solvent_627 / solvent_54,1 / 0,0 / -0.87
solvent_627 / solvent_595,1 / 0,0 / -0.82
solvent_627 / solvent_795,1 / 0,0 / -0.06
solvent_571 / solvent_535,1 / 0,0 / 5.23
solvent_571 / solvent_337,1 / 0,0 / 4.49
solvent_571 / solvent_262,1 / 0,0 / 2
solvent_571 / solvent_161,1 / 0,0 / 3.66
solvent_571 / solvent_560,1 / 0,0 / 2.88
solvent_375 / solvent_705,1 / 0,0 / 1.06
solvent_375 / solvent_337,1 / 0,0 / 1.35
solvent_375 / solvent_262,1 / 0,0 / -0.09
solvent_375 / solvent_90,1 / 0,0 / 0.65
solvent_376 / solvent_337,1 / 0,0 / 0.44
ref_141 / solvent_705,1 / 0,0 / 1.9
ref_141 / solvent_90,1 / 0,0 / 1.34
solvent_374 / solvent_527,1 / 0,0 / 0.45
solvent_381 / solvent_337,1 / 0,0 / 0.64
solvent_381 / solvent_527,1 / 0,0 / 0.64
solvent_382 / solvent_535,1 / 0,0 / 4.67
solvent_382 / solvent_337,1 / 0,0 / 3.93
solvent_382 / solvent_527,1 / 0,0 / 5.11
solvent_382 / solvent_840,1 / 0,0 / 4.36
solvent_382 / solvent_677,1 / 0,0 / 5.52
solvent_382 / solvent_95,1 / 0,0 / 5.3
solvent_382 / ref_48,1 / 0,0 / 4.76
solvent_382 / solvent_666,1 / 0,0 / 5.94
solvent_382 / solvent_262,1 / 0,0 / 1.9
solvent_382 / solvent_782,1 / 0,0 / 2.34
solvent_382 / ref_125,1 / 0,0 / 2.83
solvent_382 / ref_54,1 / 0,0 / 2.84
solvent_382 / solvent_687,1 / 0,0 / 2.7
solvent_382 / solvent_454,1 / 0,0 / 2.79
solvent_382 / ref_102,1 / 0,0 / 3.25
solvent_382 / ref_109,1 / 0,0 / 3.19
solvent_382 / ref_106,1 / 0,0 / 3.92
solvent_382 / ref_104,1 / 0,0 / 3.24
solvent_382 / solvent_80,1 / 0,0 / 4.42
solvent_382 / solvent_88,1 / 0,0 / 4.85
solvent_382 / ref_148,1 / 0,0 / 4.69
solvent_382 / solvent_350,1 / 0,0 / 6.41
solvent_382 / ref_3,1 / 0,0 / 6.85
solvent_382 / ref_121,1 / 0,0 / 4.16
solvent_382 / ref_122,1 / 0,0 / 2.97
solvent_382 / ref_147,1 / 0,0 / 3.37
solvent_382 / solvent_647,1 / 0,0 / 2.45
solvent_382 / solvent_296,1 / 0,0 / 1.14
solvent_382 / solvent_73,1 / 0,0 / 2.65
solvent_382 / solvent_627,1 / 0,0 / 0.45
solvent_382 / ref_36,1 / 0,0 / 1.51
solvent_382 / solvent_319,1 / 0,0 / 0.42
solvent_382 / solvent_317,1 / 0,0 / 1.88
solvent_382 / ref_55,1 / 0,0 / 2.19
solvent_382 / solvent_276,1 / 0,0 / 2
solvent_382 / solvent_225,1 / 0,0 / 0.74
solvent_382 / solvent_510,1 / 0,0 / 1.69
solvent_353 / solvent_337,1 / 0,0 / 1.38
solvent_378 / solvent_705,1 / 0,0 / 1.64
solvent_378 / solvent_535,1 / 0,0 / 1.82
solvent_378 / solvent_337,1 / 0,0 / 1.39
solvent_378 / solvent_527,1 / 0,0 / 1.97
solvent_378 / solvent_840,1 / 0,0 / 1.56
solvent_378 / solvent_677,1 / 0,0 / 2.14
solvent_378 / ref_48,1 / 0,0 / 1.74
solvent_378 / solvent_262,1 / 0,0 / 0.04
solvent_378 / solvent_782,1 / 0,0 / 0.2
solvent_378 / solvent_454,1 / 0,0 / 0.36
solvent_378 / solvent_90,1 / 0,0 / 1.07
solvent_378 / solvent_81,1 / 0,0 / 1.25
solvent_378 / solvent_80,1 / 0,0 / 1.45
solvent_378 / solvent_88,1 / 0,0 / 1.67
solvent_380 / solvent_337,1 / 0,0 / 0.59
solvent_380 / solvent_527,1 / 0,0 / 0.58
ref_111 / solvent_705,1 / 0,0 / 0.97
ref_111 / solvent_535,1 / 0,0 / 1.11
ref_111 / solvent_337,1 / 0,0 / 0.71
ref_111 / solvent_527,1 / 0,0 / 1.28
ref_111 / solvent_840,1 / 0,0 / 0.85
ref_111 / solvent_677,1 / 0,0 / 1.45
ref_111 / ref_48,1 / 0,0 / 1
ref_111 / solvent_262,1 / 0,0 / -0.15
ref_111 / solvent_782,1 / 0,0 / -0.03
ref_111 / solvent_454,1 / 0,0 / 0.06
ref_111 / solvent_90,1 / 0,0 / 0.62
ref_111 / solvent_81,1 / 0,0 / 0.74
ref_111 / solvent_80,1 / 0,0 / 0.86
ref_111 / solvent_88,1 / 0,0 / 0.95
ref_140 / solvent_705,1 / 0,0 / 0.18
ref_140 / solvent_535,1 / 0,0 / 0.23
ref_140 / solvent_337,1 / 0,0 / -0.05
ref_140 / solvent_527,1 / 0,0 / 0.29
ref_140 / solvent_840,1 / 0,0 / 0.08
ref_140 / solvent_677,1 / 0,0 / 0.33
ref_140 / ref_48,1 / 0,0 / 0.2
ref_140 / solvent_262,1 / 0,0 / -0.54
ref_140 / solvent_782,1 / 0,0 / -0.45
ref_140 / solvent_454,1 / 0,0 / -0.34
ref_140 / solvent_90,1 / 0,0 / 0.07
ref_140 / solvent_81,1 / 0,0 / 0.12
ref_140 / solvent_80,1 / 0,0 / 0.16
ref_140 / solvent_88,1 / 0,0 / 0.2
solvent_564 / solvent_705,1 / 0,0 / -0.02
solvent_564 / solvent_535,1 / 0,0 / 0.04
solvent_564 / solvent_337,1 / 0,0 / 0.15
solvent_564 / ref_34,1 / 0,0 / 0.05
solvent_564 / solvent_527,1 / 0,0 / 0.16
solvent_564 / solvent_677,1 / 0,0 / 0.28
solvent_564 / ref_70,1 / 0,0 / 0.22
solvent_564 / ref_48,1 / 0,0 / 0.36
solvent_564 / solvent_666,1 / 0,0 / 0.49
solvent_564 / ref_32,1 / 0,0 / 0.18
solvent_564 / solvent_782,1 / 0,0 / 0.22
solvent_564 / solvent_446,1 / 0,0 / 1.54
solvent_564 / solvent_54,1 / 0,0 / 0.77
solvent_564 / solvent_595,1 / 0,0 / 0.73
solvent_626 / solvent_337,1 / 0,0 / 1.06
solvent_411 / solvent_337,1 / 0,0 / 2.13
solvent_411 / solvent_262,1 / 0,0 / 0.41
solvent_107 / solvent_705,1 / 0,0 / 0.86
solvent_107 / solvent_535,1 / 0,0 / 0.83
solvent_107 / solvent_337,1 / 0,0 / 0.65
solvent_107 / ref_34,1 / 0,0 / 0.87
solvent_107 / solvent_527,1 / 0,0 / 0.92
solvent_107 / ref_103,1 / 0,0 / 0.98
solvent_107 / solvent_677,1 / 0,0 / 0.75
solvent_107 / ref_70,1 / 0,0 / 0.88
solvent_107 / ref_144,1 / 0,0 / 0.92
solvent_107 / ref_48,1 / 0,0 / 0.54
solvent_107 / solvent_666,1 / 0,0 / 0.72
solvent_107 / ref_32,1 / 0,0 / 0.85
solvent_107 / solvent_782,1 / 0,0 / 0.53
ref_50 / solvent_337,1 / 0,0 / 1.2
ref_50 / solvent_527,1 / 0,0 / 1.1
solvent_424 / solvent_705,1 / 0,0 / 3.81
solvent_424 / solvent_535,1 / 0,0 / 4.34
solvent_424 / solvent_337,1 / 0,0 / 3.63
solvent_424 / solvent_527,1 / 0,0 / 4.78
solvent_424 / ref_28,1 / 0,0 / 4.16
solvent_424 / solvent_677,1 / 0,0 / 5.13
solvent_424 / ref_114,1 / 0,0 / 4.34
solvent_424 / solvent_666,1 / 0,0 / 5.58
solvent_424 / solvent_262,1 / 0,0 / 1.2
solvent_424 / solvent_161,1 / 0,0 / 3
solvent_424 / solvent_560,1 / 0,0 / 2.16
solvent_424 / solvent_81,1 / 0,0 / 3.74
solvent_424 / solvent_80,1 / 0,0 / 4.2
solvent_424 / solvent_88,1 / 0,0 / 4.49
solvent_424 / ref_37,1 / 0,0 / 1.79
solvent_424 / ref_122,1 / 0,0 / 2.23
solvent_424 / ref_147,1 / 0,0 / 2.54
solvent_424 / ref_34,1 / 0,0 / 4.11
solvent_424 / ref_103,1 / 0,0 / 4.57
solvent_424 / solvent_840,1 / 0,0 / 3.99
solvent_424 / ref_70,1 / 0,0 / 4.75
solvent_424 / ref_144,1 / 0,0 / 5.03
solvent_424 / ref_48,1 / 0,0 / 4.4
solvent_424 / ref_32,1 / 0,0 / 4.96
solvent_424 / solvent_446,1 / 0,0 / -0.63
solvent_424 / solvent_597,1 / 0,0 / 0.57
solvent_424 / solvent_449,1 / 0,0 / 1.39
solvent_424 / solvent_296,1 / 0,0 / 1.2
solvent_424 / solvent_54,1 / 0,0 / 0.49
solvent_424 / solvent_376,1 / 0,0 / 2.48
solvent_424 / solvent_222,1 / 0,0 / 0.71
solvent_424 / solvent_595,1 / 0,0 / 0.83
solvent_424 / solvent_627,1 / 0,0 / -0.58
solvent_424 / solvent_319,1 / 0,0 / -0.78
solvent_362 / solvent_535,1 / 0,0 / 0.07
solvent_362 / solvent_337,1 / 0,0 / 0.09
solvent_362 / solvent_677,1 / 0,0 / 0.08
solvent_362 / ref_13,1 / 0,0 / 0.06
ref_107 / solvent_337,1 / 0,0 / 0.26
solvent_427 / solvent_343,1 / 0,0 / 1.46
solvent_427 / solvent_337,1 / 0,0 / 1.72
solvent_427 / ref_38,1 / 0,0 / 1.72
solvent_427 / solvent_527,1 / 0,0 / 2.27
solvent_427 / solvent_840,1 / 0,0 / 1.89
solvent_427 / solvent_95,1 / 0,0 / 2.39
solvent_431 / solvent_527,1 / 0,0 / 0.21
ref_92 / solvent_527,1 / 0,0 / 0.46
ref_152 / solvent_337,1 / 0,0 / 0.37
ref_152 / solvent_527,1 / 0,0 / 0.38
solvent_446 / solvent_449,1 / 0,0 / 1.28
solvent_446 / solvent_54,1 / 0,0 / 1.13
solvent_446 / solvent_222,1 / 0,0 / 0.85
solvent_446 / solvent_595,1 / 0,0 / 0.9
solvent_446 / solvent_627,1 / 0,0 / 0.92
solvent_446 / solvent_319,1 / 0,0 / 0.54
solvent_446 / solvent_306,1 / 0,0 / 1.64
solvent_446 / solvent_455,1 / 0,0 / 1.41
solvent_446 / solvent_466,1 / 0,0 / 1.79
solvent_446 / solvent_795,1 / 0,0 / 0.23
ref_99 / solvent_705,1 / 0,0 / 0.9
ref_99 / solvent_535,1 / 0,0 / 0.98
ref_99 / solvent_337,1 / 0,0 / 0.75
ref_99 / ref_34,1 / 0,0 / 1.03
ref_99 / solvent_527,1 / 0,0 / 1.08
ref_99 / ref_103,1 / 0,0 / 1.17
ref_99 / solvent_677,1 / 0,0 / 1.18
ref_99 / ref_70,1 / 0,0 / 1.14
ref_99 / ref_48,1 / 0,0 / 0.96
ref_99 / solvent_666,1 / 0,0 / 1.36
ref_99 / ref_32,1 / 0,0 / 1.21
ref_99 / solvent_782,1 / 0,0 / 0.02
ref_99 / solvent_446,1 / 0,0 / 2.29
ref_99 / solvent_54,1 / 0,0 / 0.1
ref_99 / solvent_595,1 / 0,0 / 0.17
solvent_449 / solvent_705,1 / 0,0 / 1.11
solvent_449 / solvent_535,1 / 0,0 / 1.28
solvent_449 / solvent_337,1 / 0,0 / 1.19
solvent_449 / ref_34,1 / 0,0 / 1.24
solvent_449 / solvent_527,1 / 0,0 / 1.37
solvent_449 / ref_103,1 / 0,0 / 1.34
solvent_449 / solvent_677,1 / 0,0 / 1.56
solvent_449 / ref_70,1 / 0,0 / 1.4
solvent_449 / ref_144,1 / 0,0 / 1.47
solvent_449 / ref_48,1 / 0,0 / 2.99
solvent_449 / solvent_666,1 / 0,0 / 1.7
solvent_449 / ref_32,1 / 0,0 / 1.37
solvent_449 / solvent_782,1 / 0,0 / 0.29
solvent_449 / solvent_90,1 / 0,0 / 0.71
solvent_449 / solvent_194,1 / 0,0 / 0.71
solvent_449 / solvent_560,1 / 0,0 / 0.28
solvent_449 / solvent_80,1 / 0,0 / 1.23
solvent_449 / solvent_446,1 / 0,0 / 1.22
solvent_449 / solvent_296,1 / 0,0 / 0.13
solvent_449 / solvent_54,1 / 0,0 / 0.08
solvent_449 / solvent_222,1 / 0,0 / 0.12
solvent_449 / solvent_595,1 / 0,0 / 0.14
solvent_449 / solvent_726,1 / 0,0 / 0.1
solvent_449 / ref_74,1 / 0,0 / 0.19
solvent_449 / solvent_627,1 / 0,0 / -0.69
solvent_449 / solvent_319,1 / 0,0 / -0.92
solvent_449 / solvent_306,1 / 0,0 / 0.26
solvent_449 / solvent_455,1 / 0,0 / 0.04
solvent_449 / solvent_723,1 / 0,0 / 0.39
solvent_449 / solvent_466,1 / 0,0 / 0.43
solvent_449 / solvent_795,1 / 0,0 / 0.74
solvent_449 / solvent_304,1 / 0,0 / 0.96
solvent_455 / solvent_705,1 / 0,0 / 0.59
solvent_455 / solvent_337,1 / 0,0 / 0.56
solvent_455 / solvent_527,1 / 0,0 / 0.66
solvent_455 / solvent_677,1 / 0,0 / 0.77
solvent_455 / ref_70,1 / 0,0 / 0.66
solvent_455 / solvent_666,1 / 0,0 / 0.89
solvent_455 / ref_32,1 / 0,0 / 0.62
solvent_455 / solvent_782,1 / 0,0 / 0.07
solvent_455 / solvent_54,1 / 0,0 / 0.28
solvent_455 / solvent_595,1 / 0,0 / 0.03
ref_35 / solvent_337,1 / 0,0 / 0.36
ref_11 / solvent_705,1 / 0,0 / 0.55
ref_11 / solvent_535,1 / 0,0 / 0.68
ref_11 / solvent_337,1 / 0,0 / 0.62
ref_11 / ref_34,1 / 0,0 / 0.66
ref_11 / solvent_527,1 / 0,0 / 0.69
ref_11 / ref_103,1 / 0,0 / 0.73
ref_11 / solvent_677,1 / 0,0 / 0.88
ref_11 / ref_70,1 / 0,0 / 0.77
ref_11 / ref_144,1 / 0,0 / 0.81
ref_11 / ref_48,1 / 0,0 / 0.79
ref_11 / solvent_666,1 / 0,0 / 0.98
solvent_454 / solvent_527,1 / 0,0 / 0.51
solvent_477 / solvent_535,1 / 0,0 / 4.5
solvent_477 / solvent_262,1 / 0,0 / 1.02
solvent_482 / solvent_535,1 / 0,0 / 6.11
solvent_482 / solvent_262,1 / 0,0 / 3.48
solvent_482 / solvent_705,1 / 0,0 / 5.52
solvent_482 / solvent_337,1 / 0,0 / 5.58
solvent_482 / solvent_527,1 / 0,0 / 6.88
solvent_482 / solvent_677,1 / 0,0 / 7.48
solvent_482 / solvent_666,1 / 0,0 / 7.72
solvent_482 / solvent_782,1 / 0,0 / 4.16
solvent_482 / solvent_840,1 / 0,0 / 6.3
solvent_482 / solvent_95,1 / 0,0 / 7.05
solvent_482 / ref_48,1 / 0,0 / 6.65
solvent_482 / ref_125,1 / 0,0 / 4.82
solvent_482 / ref_54,1 / 0,0 / 4.81
solvent_482 / solvent_687,1 / 0,0 / 4.67
solvent_482 / solvent_454,1 / 0,0 / 4.72
solvent_482 / ref_102,1 / 0,0 / 5.31
solvent_482 / ref_109,1 / 0,0 / 5.21
solvent_482 / solvent_81,1 / 0,0 / 5.67
solvent_482 / ref_106,1 / 0,0 / 5.59
solvent_482 / ref_104,1 / 0,0 / 4.85
solvent_482 / solvent_80,1 / 0,0 / 6.23
solvent_482 / solvent_88,1 / 0,0 / 6.82
solvent_482 / ref_148,1 / 0,0 / 6.51
solvent_505 / solvent_535,1 / 0,0 / 4.38
solvent_505 / solvent_262,1 / 0,0 / 1.86
ref_128 / solvent_535,1 / 0,0 / 0.16
ref_128 / solvent_337,1 / 0,0 / 0.18
ref_128 / solvent_527,1 / 0,0 / 0.19
solvent_510 / solvent_705,1 / 0,0 / 0.65
solvent_510 / solvent_535,1 / 0,0 / 0.7
solvent_510 / solvent_337,1 / 0,0 / 0.65
solvent_510 / ref_34,1 / 0,0 / 0.72
solvent_510 / solvent_527,1 / 0,0 / 0.77
solvent_510 / ref_103,1 / 0,0 / 0.77
solvent_510 / solvent_677,1 / 0,0 / 0.87
solvent_510 / ref_48,1 / 0,0 / 0.82
solvent_510 / solvent_666,1 / 0,0 / 1.01
solvent_520 / solvent_705,1 / 0,0 / 3.04
solvent_520 / solvent_343,1 / 0,0 / 2.49
solvent_520 / solvent_535,1 / 0,0 / 3.29
solvent_520 / solvent_337,1 / 0,0 / 2.7
solvent_520 / solvent_527,1 / 0,0 / 3.48
solvent_520 / solvent_262,1 / 0,0 / 0.93
solvent_520 / solvent_782,1 / 0,0 / 1.28
solvent_520 / solvent_687,1 / 0,0 / 1.37
solvent_520 / solvent_454,1 / 0,0 / 1.54
solvent_520 / ref_28,1 / 0,0 / 2.74
solvent_520 / solvent_81,1 / 0,0 / 2.71
solvent_520 / solvent_80,1 / 0,0 / 2.88
solvent_520 / ref_37,1 / 0,0 / 1.4
solvent_520 / ref_122,1 / 0,0 / 1.63
solvent_521 / solvent_705,1 / 0,0 / 3.21
solvent_521 / solvent_343,1 / 0,0 / 2.48
solvent_521 / solvent_535,1 / 0,0 / 3.43
solvent_521 / solvent_337,1 / 0,0 / 2.73
solvent_521 / solvent_527,1 / 0,0 / 3.62
solvent_521 / ref_28,1 / 0,0 / 2.87
solvent_521 / solvent_262,1 / 0,0 / 1.15
solvent_521 / solvent_81,1 / 0,0 / 2.81
solvent_521 / solvent_80,1 / 0,0 / 3.01
solvent_521 / ref_37,1 / 0,0 / 1.8
solvent_521 / ref_122,1 / 0,0 / 1.91
solvent_522 / solvent_705,1 / 0,0 / 3.14
solvent_522 / solvent_535,1 / 0,0 / 3.56
solvent_522 / solvent_337,1 / 0,0 / 3.04
solvent_522 / ref_34,1 / 0,0 / 3.47
solvent_522 / solvent_527,1 / 0,0 / 3.94
solvent_522 / ref_103,1 / 0,0 / 3.82
solvent_522 / solvent_677,1 / 0,0 / 4.33
solvent_522 / ref_70,1 / 0,0 / 3.97
solvent_522 / ref_144,1 / 0,0 / 4.2
solvent_522 / ref_48,1 / 0,0 / 3.74
solvent_522 / solvent_666,1 / 0,0 / 4.67
ref_131 / solvent_343,1 / 0,0 / 2.72
ref_131 / solvent_535,1 / 0,0 / 3.61
ref_131 / solvent_337,1 / 0,0 / 3.08
ref_131 / ref_38,1 / 0,0 / 3.1
ref_131 / solvent_527,1 / 0,0 / 3.82
ref_131 / solvent_840,1 / 0,0 / 3.35
ref_131 / solvent_95,1 / 0,0 / 3.9
ref_131 / solvent_262,1 / 0,0 / 0.99
ref_131 / solvent_782,1 / 0,0 / 1.39
ref_145 / solvent_535,1 / 0,0 / 1.1
ref_145 / solvent_337,1 / 0,0 / 0.95
ref_145 / solvent_262,1 / 0,0 / -0.11
ref_145 / solvent_161,1 / 0,0 / 0.63
ref_145 / solvent_560,1 / 0,0 / 0.26
ref_159 / solvent_527,1 / 0,0 / 0.89
ref_120 / solvent_527,1 / 0,0 / 0.56
ref_19 / solvent_705,1 / 0,0 / 1.46
ref_19 / solvent_535,1 / 0,0 / 3.18
ref_19 / solvent_337,1 / 0,0 / 3.22
ref_19 / ref_34,1 / 0,0 / 2.89
ref_19 / solvent_527,1 / 0,0 / 3.67
ref_19 / ref_103,1 / 0,0 / 3.21
ref_19 / solvent_677,1 / 0,0 / 4.17
ref_19 / ref_70,1 / 0,0 / 3.63
ref_19 / ref_144,1 / 0,0 / 3.72
ref_19 / ref_48,1 / 0,0 / 4.04
ref_19 / solvent_666,1 / 0,0 / 4.64
ref_130 / ref_146,1 / 0,0 / 2.05
solvent_534 / solvent_705,1 / 0,0 / 1.36
solvent_534 / solvent_558,1 / 0,0 / 1.7
solvent_534 / solvent_535,1 / 0,0 / 1.58
solvent_534 / solvent_337,1 / 0,0 / 1.18
solvent_534 / ref_34,1 / 0,0 / 1.35
solvent_534 / solvent_527,1 / 0,0 / 1.55
solvent_534 / ref_103,1 / 0,0 / 1.52
solvent_534 / solvent_677,1 / 0,0 / 1.72
solvent_534 / ref_70,1 / 0,0 / 1.56
solvent_534 / ref_144,1 / 0,0 / 1.69
solvent_534 / ref_48,1 / 0,0 / 1.38
solvent_534 / solvent_666,1 / 0,0 / 1.89
solvent_534 / solvent_262,1 / 0,0 / -0.25
solvent_534 / solvent_161,1 / 0,0 / 1.02
solvent_534 / solvent_560,1 / 0,0 / 0.38
ref_79 / solvent_535,1 / 0,0 / 1.38
ref_79 / solvent_337,1 / 0,0 / 1.18
ref_79 / solvent_262,1 / 0,0 / 0.04
ref_79 / solvent_161,1 / 0,0 / 0.81
ref_79 / solvent_560,1 / 0,0 / 0.39
ref_105 / solvent_337,1 / 0,0 / 0.67
ref_105 / solvent_527,1 / 0,0 / 0.9
solvent_536 / solvent_705,1 / 0,0 / 0.39
solvent_536 / solvent_535,1 / 0,0 / 0.52
solvent_536 / solvent_337,1 / 0,0 / 0.41
solvent_536 / ref_34,1 / 0,0 / 0.51
solvent_536 / solvent_527,1 / 0,0 / 0.6
solvent_536 / ref_103,1 / 0,0 / 0.51
solvent_536 / solvent_677,1 / 0,0 / 0.68
solvent_536 / ref_70,1 / 0,0 / 0.58
solvent_536 / ref_144,1 / 0,0 / 0.65
solvent_536 / ref_48,1 / 0,0 / 0.55
solvent_536 / solvent_666,1 / 0,0 / 0.77
ref_39 / solvent_527,1 / 0,0 / 0.77
ref_2 / solvent_535,1 / 0,0 / 4.38
ref_2 / solvent_262,1 / 0,0 / 2.05
ref_21 / solvent_535,1 / 0,0 / 4.56
ref_21 / solvent_262,1 / 0,0 / 1.16
ref_150 / solvent_705,1 / 0,0 / 1.1
ref_150 / solvent_558,1 / 0,0 / 1.17
ref_150 / solvent_535,1 / 0,0 / 1.06
ref_150 / solvent_337,1 / 0,0 / 0.78
ref_150 / solvent_262,1 / 0,0 / 0.01
ref_150 / solvent_161,1 / 0,0 / 0.68
ref_150 / solvent_560,1 / 0,0 / 0.44
solvent_601 / solvent_705,1 / 0,0 / 3.29
solvent_601 / solvent_535,1 / 0,0 / 3.61
solvent_601 / solvent_337,1 / 0,0 / 2.6
solvent_601 / ref_34,1 / 0,0 / 3.71
solvent_601 / solvent_527,1 / 0,0 / 3.94
solvent_601 / ref_103,1 / 0,0 / 4.14
solvent_601 / solvent_677,1 / 0,0 / 4.13
solvent_601 / ref_70,1 / 0,0 / 4.07
solvent_601 / ref_48,1 / 0,0 / 3.3
solvent_601 / solvent_666,1 / 0,0 / 4.58
solvent_601 / ref_32,1 / 0,0 / 4.36
solvent_601 / solvent_782,1 / 0,0 / 1.35
