solv_i_id,molefrac_i,ln_gamma_i
solvent_81 / solvent_666,1 / 0,0 / 0.14
ref_75 / solvent_317,1 / 0,0 / -0.22
solvent_84 / solvent_705,1 / 0,0 / 1.12
solvent_84 / solvent_535,1 / 0,0 / 1.1
solvent_84 / solvent_337,1 / 0,0 / 0.79
solvent_84 / solvent_262,1 / 0,0 / 0.22
solvent_84 / solvent_161,1 / 0,0 / 0.8
solvent_84 / solvent_560,1 / 0,0 / 0.52
solvent_86 / solvent_705,1 / 0,0 / 1.66
solvent_86 / solvent_558,1 / 0,0 / 1.65
solvent_86 / solvent_535,1 / 0,0 / 1.85
solvent_86 / solvent_337,1 / 0,0 / 1.49
solvent_86 / ref_34,1 / 0,0 / 1.9
solvent_86 / solvent_527,1 / 0,0 / 2.15
solvent_86 / ref_103,1 / 0,0 / 2.05
solvent_86 / solvent_677,1 / 0,0 / 2.36
solvent_86 / ref_70,1 / 0,0 / 2.11
solvent_86 / ref_144,1 / 0,0 / 2.19
solvent_86 / ref_48,1 / 0,0 / 2.1
solvent_86 / solvent_666,1 / 0,0 / 2.54
solvent_86 / solvent_262,1 / 0,0 / 0.03
solvent_86 / solvent_161,1 / 0,0 / 1.06
solvent_86 / solvent_560,1 / 0,0 / 0.6
solvent_87 / solvent_446,1 / 0,0 / 0.13
solvent_87 / solvent_449,1 / 0,0 / 0.85
solvent_87 / solvent_54,1 / 0,0 / 0.69
solvent_87 / solvent_222,1 / 0,0 / 0.93
solvent_87 / solvent_595,1 / 0,0 / 0.74
solvent_87 / solvent_627,1 / 0,0 / 0.45
solvent_87 / solvent_13,1 / 0,0 / 0.7
solvent_87 / solvent_481,1 / 0,0 / 0.99
solvent_87 / ref_36,1 / 0,0 / 0.95
solvent_87 / solvent_319,1 / 0,0 / 0
solvent_87 / solvent_1,1 / 0,0 / 0.68
solvent_87 / solvent_7,1 / 0,0 / 0.62
solvent_87 / solvent_306,1 / 0,0 / 0.58
solvent_87 / solvent_455,1 / 0,0 / 0.68
solvent_87 / solvent_361,1 / 0,0 / 0.77
solvent_87 / ref_58,1 / 0,0 / 0.75
